"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.0","EN_NPi2020_1400f","World","Final Energy|Electricity","EJ/yr","",54.49975,64.48576953125,74.64371875,87.2651484375,97.487109375,103.807703125,107.0981015625,110.433,117.943203125,128.658703125,"",141.998296875,"",162.497,"",197.407203125,"",231.74890625,"",254.255203125
"IMAGE 3.0.1","CD-LINKS_NPi2020_1600","World","Final Energy|Electricity","EJ/yr","",53.80826953125,63.7148984375,73.59409375,85.51090625,94.354453125,96.6011328125,94.8842421875,97.3336171875,103.6118984375,115.027296875,"",135.94709375,"",159.3055,"",194.86959375,"",226.874296875,"",250.521796875
"REMIND 2.1","TechCost-SSP2-B1100-oilH","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4722,72.4758,84.0888,96.1386,113.8952,133.6625,159.435,190.5218,224.853,255.3231,285.3669,"",339.7539,"",383.6547,"",416.9232,"",455.4755
"WITCH 5.0","EN_INDCi2030_1000","World","Final Energy|Electricity","EJ/yr","","",63.89963184903874,73.05904013175711,89.68342988072888,103.8392099147019,115.1138472041707,108.7383609001132,129.6211795819478,160.8756511943687,190.3777048383573,214.5966142899208,237.1777995832402,257.9202757923799,278.6486881982451,302.0173987391736,314.9510278244568,328.0670720782779,337.611627544884,348.8745000241416,356.7904084301487
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1400f_COV","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,79.87818765640262,79.61372631106622,88.38993981832421,100.2895999907776,113.2834626203457,132.3828738036106,152.8872378963012,174.9132799885124,192.4787386746926,"",250.8396626827723,"",300.8511708531609,"",344.4719434428077,"",373.3522700078134
"WITCH 5.0","EN_INDCi2030_2500f_NDCp","World","Final Energy|Electricity","EJ/yr","","",63.89963184903874,73.05904013175711,89.91423411094634,103.3046368708388,104.4957815707976,130.8181226081047,142.6101432766902,165.4369851021193,185.5141327248532,201.8777013877168,219.0142372584196,234.4912962218076,248.666923140079,262.5656014880191,275.4255423992409,286.5506281843722,296.4783243799536,306.7988300810007,317.4780527557491
"WITCH 5.0","EN_NPi2020_600","World","Final Energy|Electricity","EJ/yr","","",63.89963184903874,73.05904013175711,91.5870099254864,74.04759862014387,82.14070994369702,106.7801446455676,136.4514529168696,167.7067782578039,199.2172297571068,225.4657937643189,249.7459465684117,270.825721317618,288.0986234437639,301.7556993358992,317.5809796954126,333.5588907538954,344.0009312836508,354.4933077158601,362.7018944870507
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_600f_NDCp","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4797,72.0233,83.5971,97.7204,119.0446,135.9604,163.339,203.2739,241.759,274.3941,306.4714,"",365.4795,"",415.7032,"",459.4753,"",514.2552
"POLES ENGAGE","EN_INDCi2100_COV_NDCp","World","Final Energy|Electricity","EJ/yr","",54.15902709960938,63.93017578125,72.0828628540039,77.73041534423828,90.23936462402344,100.7331848144531,113.4628295898438,128.4010162353516,143.7843780517578,159.3242645263672,"",192.289779663086,"",223.9462585449219,"",252.9923095703125,"",283.3157043457031,"",300.0557556152344
"WITCH 5.0","EN_NPi2020_2500","World","Final Energy|Electricity","EJ/yr","","",63.89963184903874,73.05904013175711,91.5870099254864,102.100814447649,111.6452805556473,123.1250328261965,139.2906724670473,162.1250149003574,182.8327357192926,201.0851585579797,218.5568393021419,234.1311994709544,248.3310497935689,262.4259715552953,275.3092437267368,286.5886273993048,296.6127141420267,307.0595908811233,317.9247105513423
"WITCH 5.0","EN_NPi2020_2000f","World","Final Energy|Electricity","EJ/yr","","",63.89963184903874,73.05904013175711,91.5870099254864,96.62490830023904,102.9963524006837,115.4235974613658,132.3141055900991,160.0985836673594,183.0662201932957,202.7796920183901,222.3522221768975,238.3269555115869,254.3519381736545,269.7430372031586,283.9518238540441,297.6843011301901,309.3942266358446,322.226997413831,333.8234194961205
