"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10987.8725,11567.6458,11045.8811,7120.0124,3230.9091,1422.1128,1052.9034,709.8215,449.2001,284.9351,221.4309,"",234.4506,"",315.795,"",360.1911,"",367.142
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_1200f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,8999.79457657873,7308.281247089121,5915.900739497262,5687.934144235408,5408.723700332673,4489.583668606745,3137.94363116006,1495.120566062945,"",146.1026287290112,"",-47.74807058499387,"",-85.35371124172869,"",-59.33701887006386
"REMIND-MAgPIE 1.7-3.0","EMF33_Med2C_cost100","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10859.1434,12843.9928,14428.4507,14312.4624,12237.3908,8703.5136,5137.2136,2319.8353,1544.6802,1219.5526,1028.356,"",792.7488,"",371.3564000000001,"",-280.5992,"",-840.9105
"REMIND 2.1","TechCost-SSP2-B1100-bioH","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9313.0082,10745.8533,11459.9238,11556.9664,9610.3232,6883.4547,3819.8771,2008.5953,1298.8468,1021.3782,841.2995,835.4548,"",983.9699,"",1110.6354,"",1093.2879,"",872.6988
"AIM/CGE 2.2","EN_INDCi2030_1800f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",11463.3257,12663.2588,14759.4334,16203.5947,16929.0641,14897.388,13106.0738,11341.5472,9270.3285,6736.1303,4306.2004,2731.1552,919.9273,-1301.5292,-4134.8147,-5662.3024,-6341.9534,-6603.5544,-6870.5903
"IMAGE 3.0.2","EMF33_WB2C_nofuel","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",9194.140625,11050.400390625,12583.5703125,"",13844.2900390625,"",9407.9765625,"",2081.50390625,"",-2874.55810546875,"",-5160.05419921875,"",-6665.3427734375,"",-6880.18310546875,"",-7193.77490234375,"",-7407.701171875
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2100_NDCp","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10966.1849,11556.0808,11884.1622,10949.0024,9674.1747,7559.3565,4949.3606,3744.9045,2982.3941,2093.5848,1642.9997,"",1359.1246,"",1397.7273,"",1455.5584,"",1629.8302
"COFFEE 1.1","EN_INDCi2030_900f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",13045.405013,13564.533749,11956.4848885,10771.040111,9629.769722400002,3159.31466855,2620.15775385,1850.0683442,599.58609555,"",-405.5062172,"",-443.9124494500001,"",-200.33491205,"",260.4203997,"",390.20326545
"AIM/CGE 2.2","EN_INDCi2030_900f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",11463.3257,12663.2588,14759.4334,16203.5947,16929.0641,14897.388,8832.6625,5657.4721,2499.5571,-1186.8546,-4030.0321,-6606.612,-8644.1176,-9251.2261,-9738.6264,-10179,-10561,-10898,-11200
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1800f_COV","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,12244.88972480005,10277.6887419381,9686.371947500676,7960.136016317904,7345.809105246307,6769.058323453273,6579.555191996199,6384.536859362085,5593.636441915552,"",1134.583418451893,"",246.4783985317344,"",-61.38801536205977,"",-115.9442254119824
