"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.2","SSP2_SPA1_19I_LIRE_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329979472156,206.7695297488788,261.3653640189947,113.4401783450257,276.2676303836523,236.3448714431409,213.6336776311696,177.2078747711745,132.3089562476753,106.5117903150589,90.34564036455524,77.02845149442457,54.72474483649728,36.41329768134381,21.35229374786615,8.904499933933089,1.933440372213158,0.0000151419912178151,0.00001391236326269051,0.00001287672849946434
"IMAGE 3.2","SSP1_SPA1_26I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329979472156,206.7695297488788,261.3653640189947,113.4401783450257,288.4843498730657,291.6351085172972,274.9003519864447,257.3687335089369,241.0782079121089,239.8818632184983,241.264877241928,234.8073969498154,189.6511900100662,134.5834235472639,77.46933587599733,30.60345041533369,5.799522468726562,0.00003312073016149779,0.00002852117179726749,0.00002489336322487049
"IMAGE 3.2","SSP3-baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5330252660112,206.8775892445761,261.3526607790757,113.3547046635283,337.1292352982873,378.080628846684,422.6013049867482,465.0081346855102,518.8285659228554,586.7279023465442,613.8025771142744,631.9929063894699,642.5059438335866,647.3500033808156,646.0391929339572,638.7270987614505,627.3860832625761,611.4515215714327,586.400459263387,546.405578702691
"IMAGE 3.2","SSP1_SPA1_34I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.76946145189,261.365172787426,113.4397344145984,298.6821557356249,311.6293524985689,317.4476002942029,322.6389363701397,326.1998594103766,340.2067522517175,335.7367962904016,328.5551220477291,319.257497816499,308.2510556064136,293.4157202907911,276.4076938483066,256.1644663646242,232.3835914544919,209.0634343714832,183.0615960227969
"IMAGE 3.2","SSP4-baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7696390240609,261.3653640189947,113.4395158642342,345.2665756459992,407.6823741568206,477.5481174823656,565.7373418924926,666.9685046484427,792.6475307072568,868.4027146095726,927.1750053612864,965.51147112087,983.7238193452584,968.668758957232,930.0768078219028,880.9588154957875,828.0418714640298,771.8780885841809,716.4102247015239
"IMAGE 3.2","SSP2_SPA2_45I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329979472156,206.7695297488788,261.3653640189947,113.4401783450257,275.4538854213629,259.2688376940551,247.6186280674339,232.5956672641489,226.738230656335,242.0560022415231,270.2258875218321,290.6087686882359,246.0822463259294,180.1533736452324,107.3023621090446,43.71770502775977,8.616028820016455,0.00004089022780005177,0.00003465767229075866,0.00002964344740315
"IMAGE 3.2","SSP2_SPA2_26I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329979472156,206.7695297488788,261.3653640189947,113.4401783450257,274.7382968913931,253.8858602675136,233.8464583172398,211.0922783805107,195.3800916849372,195.2266420104758,205.8850564249764,207.8320260038168,165.8618189545258,115.8925183222746,66.84242003273656,26.4882682846725,4.931252178563445,0.00002314099341989177,0.00002054909561216489,0.00001829483631421219
"IMAGE 3.2","SSP1_SPA1_26I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.76946145189,261.365172787426,113.4397344145984,298.6811995777815,307.0512960633625,308.7485035541199,307.8522831481419,300.9760330394337,302.7947272138887,289.5730585123096,272.1065134057413,249.5678241281097,225.068983952797,200.8413374606564,169.7904666419207,143.496139608951,123.6023468388231,102.3640185687617,79.27604392891597
"IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329979472156,206.7695297488788,261.3653640189947,113.4401783450257,280.1156466460565,246.4135413592555,224.1657699351647,185.5279095639567,138.5481866823423,109.866606702461,90.75880299836946,76.39830249745783,54.54573501397331,36.54373127057571,21.56273213721638,9.03865229420577,1.957659765014201,0.00001731968657538796,0.00001581099592136296,0.00001441494316635614
"IMAGE 3.2","SSP1_SPA1_19I_D_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.76946145189,261.365172787426,113.4397344145984,285.2919573844549,261.617926283619,249.1008912750043,223.451328794607,181.8295183446403,153.3478846292031,124.5012308273647,101.05615855182,82.73881053683321,72.53660634819465,67.7810801875619,65.53492198983554,64.72366986763775,63.59396937570931,61.54272395435164,58.93429803887327
"IMAGE 3.2","SSP2_SPA1_19I_D_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7696390240609,261.3653640189947,113.439700266104,302.1252254919689,298.1130779060532,296.3299801221667,279.2011226470771,255.4422666861376,237.6020277755891,210.0887770645079,187.9591594310607,167.692506080216,154.7919288418346,150.4535675185604,152.2671667376501,157.4809178853148,163.3212939053236,168.5098434641169,172.6243545768631
"IMAGE 3.2","SSP2_SPA2_34I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7695297488788,261.3655279317678,113.4401373668324,300.7698034520189,315.5605818121409,324.135678539338,337.3483593571896,368.4075897273558,426.3878539592223,489.5494829066592,558.2925330113277,546.7491398752074,456.0310418821696,318.2204763383875,174.6286663075096,67.10989835971729,15.71792535005846,1.658898642592687,0.00006818386567084904
"IMAGE 3.2","SSP1_SPA1_19I_RE_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7693521767079,261.3655006129723,113.4405403190664,285.3011638185466,262.4453033248752,249.7234046686219,224.0625868444685,182.4422652688579,153.7461926679508,125.2583575859295,99.591283757601,67.25458553051413,43.47196221746823,25.56729704994929,10.70950483069325,2.254680594789565,0.00001884942824219966,0.00001778722813645271,0.00001674366911938011
"IMAGE 3.2","SSP2_SPA2_19I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329979472156,206.7695297488788,261.3653640189947,113.4401783450257,278.4792507941368,273.486768230823,257.3407044247288,202.9884991731007,161.0427151270085,125.443456085006,88.37506051668265,62.74268155867031,48.1278225823286,40.46481848130924,35.07604947011658,32.15506921504197,31.0876658214578,30.98132740987854,31.26128701156456,31.31805546866454
"IMAGE 3.2","SSP2_SPA2_19I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7696390240609,261.3653640189947,113.439700266104,306.4830377976565,330.2621916236708,318.5215294650679,300.6509666914872,269.51824876136,245.2032094423364,214.1958438054736,200.3910280946277,204.3501908766235,217.8326721190754,234.9353855068479,245.7110931699331,243.581729652773,231.0848832340509,214.083140114537,194.7962070681912
"IMAGE 3.2","SSP2_SPA2_19I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7695297488788,261.3655279317678,113.4401373668324,300.7147833978325,315.8638204424633,297.6504067850497,265.1454930745205,217.9362923105,181.045591847666,170.2465949113961,188.6739010783692,194.7123247065331,171.048934276554,123.7052294227685,69.108855606441,26.26106298456908,6.11487058202136,0.5600151392985117,0.00005046275575641088
"© AR6 Scenario Explorer and Database hosted by IIASA https://data.ece.iiasa.ac.at/ar6"
