"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.2","SSP1_SPA1_19I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9536853615579,808.4665338933313,464.8255768344175,1101.63139251452,1145.855762168626,1170.057264573449,1176.803818700405,1121.944713197819,1069.431499985721,966.3036752128884,838.0379826592313,624.5293670591235,414.7660217314522,226.5388785756936,86.13052607986528,16.78355921134814,0.0021390713605316,0.0018189013224652,0.0015471048183224
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_int_mc_15","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP2-baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9580044373859,692.9538834228254,808.4666499982123,465.8529001401178,1245.446076108986,1465.716855112842,1705.017592912942,1987.816136511077,2345.24088746768,2807.016020275033,3067.9377816923,3327.430524234474,3567.830625004073,3780.752989496772,3956.784626207842,4069.618081423064,4116.754149771465,4113.053518410915,4063.165887317885,3945.377868027538
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_noint_lc_50","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_mc_15","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP2_SPA2_45I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579429700959,692.9537126803533,808.4665817012235,465.913909840223,1091.526279325175,1156.382090206765,1220.206036032899,1268.258103595238,1339.156633985588,1449.295322232076,1438.31580269498,1415.647554029573,1380.011414613612,1357.251948489949,1340.309951576247,1320.234215627926,1284.0100391383,1243.204480150112,1209.369824067425,1183.585996536724
"AIM/Hub-Global 2.0","2C","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",855.2693999999999,982.9996,1148.6316,1248.4322,1378.6332,1480.6813,1556.9551,1615.7384,1674.5303,1711.4933,1719.2265,1712.3892,1667.7747,1641.7334,1596.1338,1549.2045,1502.2324,1460.8672,1421.2764
"IMAGE 3.2","SSP1_SPA1_19I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579429700959,692.9537126803533,808.4665817012235,465.914019115405,1120.997311028426,1131.566570553732,1112.713104835974,1062.880056696401,958.4873580313852,888.6099768989469,845.689185040584,805.8330771314536,648.6159631951215,471.0835035697717,285.4131145351815,119.3235558566149,24.01900847544388,0.0001263309241776,0.0001183301096474,0.0001098888122819
"IMAGE 3.2","SSP1_SPA1_26I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.954129291985,808.4665612121269,464.8264715249709,1069.881092233367,1153.169741338023,1158.844674732336,1178.312758711805,1203.962048004247,1260.73213057257,1210.958364219285,1145.151777297055,1081.665922054634,1028.147069830783,975.3080458335604,911.375644389194,832.1513559183994,742.9939636394312,652.6766016430932,560.1390274750784
"IMAGE 3.2","SSP2_SPA1_19I_RE_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579907779881,692.9540951434907,808.4666021903201,465.9132541891303,1167.863613100721,1144.808475653096,1165.493919309633,1124.663493387819,1006.304914223243,927.612973461437,861.1491372970795,827.9354032881718,703.7884972387603,553.8022347918943,391.108590213747,220.8411041071858,87.56746014910537,20.7801746391124,2.576181105207498,0.0003241676169273
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB600","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
